reaction_type, IBM_RXN_ReactionSMILES_ERROR
SNAr,Fc1cc(F)cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5cc(F)cc(F)c5)c4F)c4nsnc34)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2cccc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5F)c4F)c4nsnc34)c2F)cc(-n2c3ccccc3c3ccccc32)c1
SNAr,Fc1cc(F)cc(-c2cc(-c3cc(F)cc(F)c3)cc(-c3cc(-c4cc(F)cc(F)c4)cc4ccccc34)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>c1ccc2c(-c3cc(-c4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc(-n5c6ccccc6c6ccccc65)c4)cc(-c4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc5ccccc45)c3)cc(-n3c4ccccc4c4ccccc4
SNAr,Fc1cc(F)cc(-c2cc(-c3cc(F)cc(F)c3)cc(-c3c(F)c(F)c(-c4cc(F)cc(F)c4)c4nsnc34)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)c(-c4cc(-n5c6ccccc65)cc(-n
SNAr,Fc1cc(F)cc(-c2cc(-c3ccc4nc5ccc(-c6cc(-c7cc(F)cc(F)c7)cc(C(F)(F)F)c6)cc5nc4c3)cc(C(F)(F)F)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cc(-c2cc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)cc(-c3ccc4nc5ccc(-c6cc(-c7cc(-n8c9ccccc9c9ccccc98)cc(-n8c9ccccc9c9ccccc98)c7)cc(C(F)(F)F)c6)cc5nc4c3)c2)cc(-n2c3c
SNAr,Fc1cccc(-c2ccc3[nH]ccc3c2)c1-c1c(F)c(F)c(-c2c(F)cccc2-c2ccc3[nH]ccc3c2)c2nsnc12.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cccc(-c2ccc3[nH]ccc3c2)c1-c1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-c2c(-n3c4ccccc4c4ccccc43)cccc2-c2ccc3[nH]ccc3c2)c1-n1c2ccccc2c2ccccc21
SNAr,Fc1cccc(-c2ccco2)c1-c1cc(-c2c(F)cccc2-c2ccco2)c2ccccc2c1.c1ccc2c(c1)[nH]c1ccccc12>>c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-n4c5ccccc5c5ccccc54)cccc3-n3c4ccccc4c4ccccc43)c3ccccc23)c1
SNAr,Fc1cccc(-c2ccco2)c1-c1c(F)c(F)c(-c2c(F)cccc2-c2ccco2)c2nsnc12.c1ccc2c(c1)[nH]c1ccccc12>>c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c2-c2ccco2)c1
SNAr,CSc1cncc(-c2ccccc2-c2c(F)c(F)c(-c3ccccc3-c3cncc(SC)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>CSc1cncc(-c2ccccc2-c2c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-c3cncc(SC)c3)c3nsnc23)c1
SNAr,CSc1cncc(-c2ccsc2-c2cc(F)c(-c3sccc3-c3cncc(SC)c3)cc2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2ccsc2-c2c(F)c(F)c(-c3sccc3-c3cncc(SC)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2cc(Cl)c(-c3c(F)cccc3-c3cncc(SC)c3)s2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2c3nsnc3c(-c3c(F)cccc3-c3cncc(SC)c3)c3nc(C)c(C)nc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4c(F)cccc4-c4cncc(SC)c4)ccc2-3)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2cc(-c3c(F)cccc3-c3cncc(SC)c3)c(Cl)cc2Cl)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2cnc3nc(-c4c(F)cccc4-c4cncc(SC)c4)ccc3c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(F)cccc3-c3cncc(SC)c3)ccc2-c2ccc(-c3c(F)cccc3-c3cncc(SC)c3)cc21.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2c(F)c(F)c(-c3c(F)cccc3-c3cncc(SC)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>CSc1cncc(-c2cccc(F)c2-c2c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-c3c(F)cccc3-c3cncc(S(C)=O)c3)c3nsnc23)c1
SNAr,CSc1cncc(-c2cccc(F)c2-c2ccc([Si](C)(C)c3ccc(-c4c(F)cccc4-c4cncc(SC)c4)cc3)cc2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2ccc3nc4ccc(-c5c(F)cccc5-c5cncc(SC)c5)cc4nc3c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(F)c2-c2ccccc2[Si](C)(C)c2ccccc2-c2c(F)cccc2-c2cncc(SC)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cnn(C)c2-c2cc(F)c(-c3c(-c4cncc(SC)c4)cnn3C)cc2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cnn(C)c2-c2c(F)c(F)c(-c3c(-c4cncc(SC)c4)cnn3C)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2ccc(-c3cc(F)c(-c4ccc(-c5cncc(SC)c5)s4)cc3F)s2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5cncc(SC)c5)s4)c4nsnc34)s2)c1.c1ccc2c(c1)[nH]c1ccccc12>>CSc1cncc(-c2ccc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3F)s2)c1
SNAr,CSc1cncc(-c2ncccc2-c2cc(F)c(-c3cccnc3-c3cncc(SC)c3)cc2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2ncccc2-c2c(F)c(F)c(-c3cccnc3-c3cncc(SC)c3)c3nsnc23)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5cncc(SC)c5)cc4)c4nsnc34)cc2)c1.c1ccc2c(c1)[nH]c1ccccc12>>CSc1cncc(-c2ccc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3F)cc2)c1
SNAr,CSc1cncc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5cncc(SC)c5)c4F)s3)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(-c3c4nsnc4c(-c4cccc(-c5cncc(SC)c5)c4F)c4nc(C)c(C)nc34)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(-c3c4ccccc4c(-c4cccc(-c5cncc(SC)c5)c4F)c4cc(C(C)(C)C)ccc34)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccc(-c6cncc(SC)c6)c5F)ccc3-4)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(-c3cc(-c4cccc(-c5cncc(SC)c5)c4F)c(Cl)cc3Cl)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4cncc(SC)c4)c3F)ccc2-c2ccc(-c3cccc(-c4cncc(SC)c4)c3F)cc21.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5cncc(SC)c5)c4F)c4nsnc34)c2F)c1.c1ccc2c(c1)[nH]c1ccccc12>>CSc1cncc(-c2cccc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3F)c2F)c1
SNAr,CSc1cncc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5cncc(SC)c5)c4)c4nsnc34)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>CSc1cncc(-c2cccc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3F)c2)c1
SNAr,CSc1cncc(-c2cc(-c3cc(F)c(-c4cc(-c5cncc(SC)c5)cc(C(F)(F)F)c4)cc3F)cc(C(F)(F)F)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,CSc1cncc(-c2cc(-c3c(F)c(F)c(-c4cc(-c5cncc(SC)c5)cc(C(F)(F)F)c4)c4nsnc34)cc(C(F)(F)F)c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>
SNAr,Fc1cccc(-c2nccs2)c1-c1cc(-c2c(F)cccc2-c2nccs2)c2ccccc2c1.c1ccc2c(c1)[nH]c1ccccc12>>c1csc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-n4c5ccccc5c5ccccc54)cccc3-n3c4ccccc4c4ccccc43)c3ccccc23)n1
SNAr,Fc1cccc(-c2ccc(F)c3ccccc23)c1-c1cc(-c2c(F)cccc2-c2ccc(F)c3ccccc23)c2ccccc2c1.c1ccc2c(c1)[nH]c1ccccc12>>c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2cc(-c3c(-n4c5ccccc5c5ccccc54)cccc3-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
SNAr,Fc1cccc(-c2ccc(F)c3ccccc23)c1-c1cccc2cccc(-c3c(F)cccc3-c3ccc(F)c4ccccc34)c12.c1ccc2c(c1)[nH]c1ccccc12>>c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2cccc3cccc(-c4c(-n5c6ccccc6c6ccccc65)cccc4-n4c5ccccc5c5ccccc54)c23)c(-c2cccc3cccc(-n4c5ccccc5c5ccccc54)c23)c(-c2cccc3ccccc23)c1
SNAr,Fc1cccc(-c2ccc(F)c3ccccc23)c1-c1c(F)c(F)c(-c2c(F)cccc2-c2ccc(F)c3ccccc23)c2nsnc12.c1ccc2c(c1)[nH]c1ccccc12>>Fc1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-c2c(-n3c4ccccc4c4ccccc43)cccc2-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-n1c2ccccc2c2ccccc21
SNAr,Fc1ccc(-c2ccc(-c3ccc4nc5ccc(-c6ccc(-c7ccc(F)c8ccccc78)s6)cc5nc4c3)s2)c2ccccc12.c1ccc2c(c1)[nH]c1ccccc12>>c1ccc2c(-c3ccc(-c4ccc5nc6ccc(-c7ccc(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)s7)cc6nc5c4)s3)ccc(-n3c4ccccc4c4ccccc43)c2c1
SNAr,Fc1ccc(-c2ncccc2-c2cc(-c3cccnc3-c3ccc(F)c4ccccc34)c3ccccc3c2)c2ccccc12.c1ccc2c(c1)[nH]c1ccccc12>>c1cnc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2cc(-c3cccnc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)c3ccccc23)c1
SNAr,Fc1c(F)c(-c2ccc(-c3ccc(F)c4ccccc34)cc2)c2nsnc2c1-c1ccc(-c2ccc(F)c3ccccc23)cc1.c1ccc2c(c1)[nH]c1ccccc12>>c1ccc2c(-c3ccc(-c4c(-n5c6ccccc6c6ccccc65)c(-n5c6ccccc6c6ccccc65)c(-c5ccc(-c6ccc(-n7c8ccccc8c8ccccc67)cc5)c5nsnc45)cc3)ccc(-n3c4ccccc4c4ccccc43)c2c1
SNAr,Fc1ccc(-c2cccc(-c3cc(-c4cccc(-c5ccc(F)c6ccccc56)c4)c4ccccc4c3)c2)c2ccccc12.c1ccc2c(c1)[nH]c1ccccc12>>c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)cc(-c2cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3)c3ccccc23)c1
SNAr,CC(C)(C)c1ccc2c(-c3cc4cc(-c5ccc(F)c6ccccc56)ccc4o3)c3ccccc3c(-c3cc4cc(-c5ccc(F)c6ccccc56)ccc4o3)c2c1.c1ccc2c(c1)[nH]c1ccccc12>>CC(C)(C)c1ccc2c(-c3cc4cc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)ccc4o3)c3ccccc3c(-c3cc4cc(-c5ccc(-n6c7ccccc7c7ccccc56)ccc4o3)c2c1
SNAr,Fc1ccc(-c2ccc3oc(-c4ccc5nc6ccc(-c7cc8cc(-c9ccc(F)c%10ccccc9%10)ccc8o7)cc6nc5c4)cc3c2)c2ccccc12.c1ccc2c(c1)[nH]c1ccccc12>>c1ccc2c(-c3ccc4oc(-c5ccc6nc7ccc(-c8cc9cc(-c%10ccc(-n%11c6ccccc6c6ccccc65)c5ccccc45)cc3)ccc(-n3c4ccccc4c4ccccc43)c2c1
SNAr,CS(=O)(=O)c1cncc(-c2ccc3oc(-c4c(F)c(F)c(-c5cc6cc(-c7cncc(S(C)(=O)=O)c7)ccc6o5)c5nsnc45)cc3c2)c1.c1ccc2c(c1)[nH]c1ccccc12>>CS(=O)(=O)c1cncc(-c2ccc3oc(-c4c(-n5c6ccccc6c6ccccc65)c(-n5c6ccccc6c6ccccc65)c(F)c(-c5cc6cc(-c7cncc(S(C)(=O)=O)c7)ccc6o5)c5nsnc45)cc3c2)c1
SNAr,Fc1cccc(-c2ccc3c(ccn3-c3cnccn3)c2)c1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3cccc(F)c3-c3ccc4c(ccn4-c4cnccn4)c3)ccc1-2.c1ccc2c(c1)[nH]c1ccccc12>>c1cc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cccc(-n5c6ccccc6c6ccccc65)c4-c4ccc5c(ccn5-c5cnccn5)c4)ccc2-3)c(-c2ccc3c(ccn3-c3cnccn3)c2)c(-n2c3ccccc3c3ccccc32)cc1
BHA,Brc1cnccn1.c1cc(-c2ccc3[nH]ccc3c2)cc(-c2ccc3nc4ccc(-c5cccc(-c6ccc7[nH]ccc7c6)c5)cc4nc3c2)c1>>c1cc(-c2ccc3c(c2)nc2ccc(-c4cccc(-c5ccc6c(ccn6-c6cnccn6)c5)c4)cc2n3-c2cnccn2)cc(-c2ccc3c(ccn3-c3cnccn3)c2)c1
BHA,Brc1cnccn1.c1cc(-n2c3ccccc3c3ccccc32)c2c(c1)[nH]c1cc3c(cc12)c1c2cc[nH]c2ccc1c1cccc(-c2ccc4[nH]ccc4c2)c13>>c1cc(-n2c3ccccc3c3ccccc32)c2c(c1)[nH]c1cc3c(cc12)c1c2cccc(-c4ccc5c(ccn5-c5cnccn5)c4)c2ccc1c1c2ccn1-c1cnccn1
