Route ,Possible Actions,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
,Purge,A 1.0 L reactor was charged with diphenylmethylthioacetamide (220 gr) and glacial acetic acid (610 ml): 15 min,"Add, Add",Add,,,,,,,"To this was added thionyl chloride (19.5 ml, 0.097 moles) with a dropping funnel: 30 min",Add,Add,Vacuum applied to port V2 and the mixture filtered. White precipitate formed in Module 2 was isolated: 30 min ,Filter,Error: No Output,"A solution of (2-Benzhydrylsulfanyl)acetamide (14.4 g, 56.0 mmol) and 30% H2O2 (5.6 mL, 49.4 mmol) in acetic acid (60 mL) was stirred at 40°C overnight: 10 min","Add, Add, Add, Stir, HeatChill","Add, Stir, HeatChill, Stir, Stir",The mixture was poured into H2O (200 mL) and a white precipitate formed: 5 min,Add,Add,A hot Solution of chloroacetamide (22.0 g) in water (66 ml) is added in about 1 hour: 1 h ,"Add, HeatChill, Add",Error: list index out of range,"Filtration, washing with water to reform a paste and drying without heat are carried out. In this way, the benzhydryl sulfinyl acetic acid is obtained: 20 min","Filter, WashSolid, Dry",Error: No Output,"By recrystallisation from methanol, 11.2 g of benzhydryl sulphinylacetamide are obtained: 30 min",Crystallize,Error: No Output
,WashSolid,The mixture was heated to 40 C. and stirred until full dissolution is achieved.,"HeatChill, Stir","HeatChill, Stir",,,,,,,The mixture was stirred at refluxed for 1h.,Stir,Stir,Reaction mixture was dried under vacuum overnight,Dry,Dry,The mixture was poured into H2O (200 mL) and a white precipitate formed: 5 min,"Add, Add",Add,The solid was collected by filtration and recrystallized from MeOH to afford 10.2 g (67%) of modafinil as a white solid: 30 min,"Filter, Crystallize, Add",Error: Recrystallize is not a valid step type., An oil separates from the mixture and at the end of the addition compound (II) solidifies: 10 min ,Separate,Error: No Output,The above acid is placed in a 20-liter reaction vessel with 6 liters of water: 15 min,"Transfer, Add",Add,,,
,Dry,"Then, 5.8% H2O2 solution (500 g, 1.2 eq.) was added dropwise during 0.5 hours at 40-450 C: 35 min ",Add,Error: No Output,,,,,,,"Thereafter, the mixture was evaporated under low pressure to give a yellow oil: 20 min",Evaporate,Evaporate,Oxalyl chloride was taken out of the refrigerator to warm up to RT for 30 minutes: 5 min,HeatChill,Error: No Output,The solid was collected by filtration and recrystallized from MeOH to afford 10.2 g (67%) of modafinil as a white solid: 30 min,"Filter, Add, Crystallize",Error: Recrystallize is not a valid step type.,,,,"Refluxing is continued for 30 minutes, until all the solid becomes an oil again. Heating is stopped and at 80 °C, crystallization is triggered with 2-(benzhydrylthio)acetamide crystals, thereafter stirring is continued overnight. ","HeatChill, Stir, Add, Crystallize, Stir",Stir,"Then, 1.1 liters of soda lye and 1.848 kg of sodium bicarbonate are added,  and 2.1 liters of dimethyl sulphate are added: 20 min","Add, Add, Add","Add, Add",,,
,Separate,The reaction mixture was stirred at 40-45 °C. for 4 hours. Then sodium metabisulfite (18.3 gr.) in 610 ml of water was added in order to quench the unreacted H2O2 and the suspension was stirred for 0.5 hours: 10 min,"HeatChill, Stir, Add, Stir","HeatChill, Stir, Stir",,,,,,,"Then,  it was taken up in about 100 ml of CH2Cl2 and filtered to yield a clear orange solution: 10 min","Add, Filter",Error: No Output,"Anhydrous DCM (46 mL), 1 drop of DMF was added to Module 2: 10 min",Add,Error: No Output,,,,,,,"The following day the mixture is cooled to 15 °C, and the product is filtered after 1 hour and washed with water. Wet product 64 g: 20 min","HeatChill, Filter, WashSolid","HeatChill, Stir, Filter","After one hour, crystallisation is induced. Filtration, drying without heat and washing are carried out. Methyl benzhydryl sulfinyl acetate is obtained: 30 min","Crystallize, Filter, Dry, WashSolid",Error: No Output,,,
,Evaporate,Then the reaction mixture was cooled to 15 °C and filtered. The cake was washed with water (610 ml) and dried on air to obtain crude wet Modafinil (205 g): 20 min,"HeatChill, Filter, WashSolid, Dry","HeatChill, Stir, Filter, WashSolid, Dry",,,,,,,This was chilled in ice water and added slowly to an ice-cold solution of concentrated NH4OH in H2O (40:40 ml): 20 min,"HeatChill, Add",Error: 'Word' object has no attribute 'name',The mixture stirred until the white powder dissolved,Stir,Error: No Output,,,,,,,2-(Benzhydrylthio)acetamide obtained (30 g) and acetic acid (120 ml) are loaded into a 1000 ml round-bottom flask: 15 min,"Add, Add","Add, Add",1 kg of methyl benzhydryl sulfinyl acetate is dissolved in 3.5 liters of anhydrous methanol in a 10-liter balloon flask: 15 min ,"Add, Add, Dissolve","Add, Add, Dissolve",,,
,Irradiate,"Reslurry in refluxing ethyl acetate, followed by recrystallization from methanol:water (4:1) solution afforded pure Modafinil (125 g): 20 min","Add, Add, Crystallize ",Error: No Output,,,,,,,The ensuing mixture was stirred for 1 h and shaken well in a separatory funnel: 5 min,"Stir, Separate",Stir,Reactionware monolith was lowered into an ice-bath: 5 min,HeatChill,Error: No Output,,,,,,,"The mixture is heated to 40 C., slowly added with 35% hydrogen peroxide (11.7 g) and reacted at 40° C. for about 6 hours: 15 min","HeatChill, Add","HeatChill, Stir","NH3 is bubbled in at a high rate of flow for 1 hour, and then left in contact for 4 hours: 15 min",Add,Error: No Output,,,
,,,,,,,,,,,The organic layer was dried (Na2SO4) and evaporated to dryness to give 14.39 g (54%) of Diphenylthioacetamide: 15 min,"Dry, Evaporate",Dry,"Once the temperature reached equilibrium, oxalyl chloride (0.797 mL, 9.3 mmol) was added to Module 2 dropwise while stirring: 5 min","Add, Stir",Add,,,,,,,"The mixture is then cooled to 30°C., added with water (900 ml) and further cooled to 15° C: 5 min","HeatChill, Add, HeatChill","HeatChill, Stir, Add, HeatChill, Stir","Filtration, drying without heat and washing with water are then carried out: 20 min","Filter, Dry, WashSolid",Error: No Output,,,
,,,,,,,,,,,"In the  round-bottomed flask, Diphenylthioacetamide (3.46 g, 0.013 moles) was taken in glacial acetic acid (14 ml) with stirring; to this was added 1.34 ml of 30% H2O2 with chilling in ice water: 15 min (considering weighing)","Add, Add, Stir, Add, HeatChill",Add,"The reaction was left to stir for 30 minutes, then the reactionware monolith was raised from the ice bath and left to stir for another 2.5 h: 5 min","Stir, HeatChill, Stir",Error: No Output,,,,,,,The product is filtered and washed with water. The wet product (49.4 g) thus obtained is dried at 50° C. under reduced pressure. Yield: 29.7 g: 30 min,"Filter, WashSolid, HeatChill, Dry","Filter, WashSolid, Dry","By recrystallisation from a mixture of water and methanol (4:1 v/v) and then from a mixture of water and methanol (9:1 v/v) and drying under reduced pressure, the product is obtained in the form of a white crystalline powder: 40 min","Crystallize, Add, Crystallize, Add, Dry",Error: No Output,,,
,,,,,,,,,,,The mixture was left in the refrigerator for 4 h,HeatChill,Error: No Output,"Reactionware monolith was submerged in an ice bath once more. Once the temperature reached equilibrium 25% NH3/H2O (5.5 mL, 72.6 mmol) was added to Module 2 dropwise and the monolith was taken out of the ice bath and left to stir for 24 h: 20 min","HeatChill, Add, HeatChill, Stir","HeatChill, Stir, Add",,,,,,,,,,,,,,,
,,,,,,,,,,,Thereafter worked up by treating it with 70 ml of ice-cold water: 5 min,Add,Error: No Output,The reaction mixture was filtered by transferring the filtrate from Module 2 to Module 3: 10 min,"Filter, Transfer",Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,The precipitated material was filtered under suction and washed with ice-cold water to give 1.5 g of white crystals (43%): 20 min,"Filter, WashSolid","Filter, Stir",Module 3 was attached to a vacuum line (250 mbar for 2 hours) until all of the DCM was evaporated: 5 min,Evaporate,Evaporate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"To ensure full removal of DCM, MeOH (30 mL) was added to Module 3 and the mixture stirred until dissolved: 5 min","Add, Stir",Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Reactionware monolith was lowered into a preheated 30 °C water bath, Module 3 was attached to a vacuum line and MeOH was evaporated under stirring (200 mbar) until full evaporation: 5 min","HeatChill, Evaporate, Stir",Evaporate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Reactionware monolith was taken out of the water bath. MeOH (30 mL) was added to Module 3 and the mixture stirred until full dissolution: 5 min,"Add, Stir",Add,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Module 3 was equipped with a vacuum line and MeOH was evaporated (150 mbar, overnight). Product acetamide formed as a pale yellow solid: 10 min",Evaporate,Evaporate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Syringe R2 preparation: aqueous ammonium molybdate tetrahydrate solution (48 µL, 8.7 µmol), Na2CO3 (22 mg, 203 µmol) in MeOH (30 mL): 20 min","Add, Add, Add",Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Syringe R2 containing starting materials was prepared and added to Module 3 to dissolve 2- (diphenylmethylthio) acetamide (1.07 g, 4.2 mmol, 1 eq.): 5 min","Add, Dissolve",Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,The reactionware monolith was suspended in an ice bath and left for the temperature inside the reactor to equilibrate: 5 min,HeatChill,"HeatChill, Stir, Add",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Once a constant temperature was reached, 50% H2O2 (aq.) (0.24 mL, 4.1 mmol, 1 eq.) was added in portions to Module 3 under stirring: 5 min  ","Add, Stir",Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Following the addition, the reactionware monolith was taken out of the ice bath and put in a preheated to 70 °C oil bath: 5 min",HeatChill,Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,The reaction was allowed to stir for 6 hours. During these six hours the reaction mixture changed in colour by developing a slightly darker yellow hue.,Stir,Stir,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"After the 6-hour mark, compound 2 (Rf = 0.78) was still visible on TLC (1:4 MeOH: CHCl3) along with product compound 3 (Rf = 0.73): 10 min ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Thus, another equivalent of 50% H2O2 (aq.) (0.24 mL, 4.1 mmol, 1 eq.) was added to Module 3: 5 min",Add,Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Reaction was allowed to stir for another 2 hours at which point TLC indicated that no starting material was left: 10 min,Stir,Stir,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Material was transferred from Module 3 to Module 4: 10 min,Transfer,Error: No Output,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,H2O (54 mL) was added to Module 4 and the reaction mixture was left to stir for 1 hour during which period a white precipitate started to form: 5 min,"Add, Stir","Add, Wait",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"The mixture was filtered and compound 3 was afforded as a pale-yellow powder (0.82 g, 3.0 mmol, 60% based on diphenylmethanol starting material) which was dried under vacuum overnight. 94.7% purity assessed by LCMS: 10 min","Filter, Dry","Filter, Stir, Dry",,,,,,,,,,,,,,,
